Date,Australia,Austria,Belgium,Canada,Chile,Colombia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
Unit,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage
Unnamed: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Dec-2019,5.1 ,4.2 ,5.2 ,5.6 ,7.8 ,10.3 ,2.0 ,4.9 ,4.4 ,6.8 ,8.2 ,3.3 ,16.4 ,3.4 ,3.5 ,4.7 ,3.6 ,9.6 ,2.2 ,3.7 ,5.6 ,3.2 ,3.2 ,..,3.9 ,2.9 ,6.7 ,5.6 ,3.8 ,13.7 ,6.6 ,..,13.1 ,3.7 ,3.5 
  Jan-2020,5.3 ,4.4 ,5.1 ,5.5 ,8.1 ,10.6 ,2.0 ,4.9 ,4.7 ,6.8 ,8.0 ,3.4 ,16.2 ,3.4 ,3.8 ,4.9 ,3.6 ,9.6 ,2.4 ,4.0 ,5.7 ,3.6 ,3.0 ,..,3.7 ,3.0 ,6.8 ,6.1 ,4.2 ,13.8 ,7.2 ,..,12.6 ,3.9 ,3.6 
  Feb-2020,5.1 ,4.4 ,5.0 ,5.6 ,8.2 ,10.8 ,2.0 ,4.9 ,4.7 ,6.9 ,7.7 ,3.6 ,15.9 ,3.6 ,3.9 ,4.8 ,3.4 ,9.4 ,2.4 ,3.3 ,5.8 ,3.6 ,2.9 ,..,3.5 ,3.0 ,6.4 ,6.1 ,4.2 ,13.6 ,7.6 ,..,12.6 ,3.9 ,3.5 
  Mar-2020,5.2 ,4.6 ,5.1 ,7.8 ,9.1 ,12.2 ,2.1 ,4.8 ,4.8 ,7.0 ,7.5 ,3.8 ,14.5 ,3.7 ,3.5 ,5.2 ,3.6 ,8.5 ,2.5 ,3.8 ,6.5 ,3.3 ,2.9 ,..,3.6 ,3.0 ,6.2 ,5.8 ,4.3 ,14.5 ,6.8 ,..,12.9 ,3.8 ,4.4 
  Apr-2020,6.4 ,4.7 ,5.3 ,13.0 ,10.9 ,20.2 ,2.2 ,4.9 ,6.0 ,7.2 ,7.8 ,4.0 ,15.7 ,4.1 ,3.9 ,5.0 ,3.7 ,7.3 ,2.6 ,3.8 ,7.5 ,4.7 ,3.4 ,..,4.1 ,3.1 ,6.3 ,6.4 ,4.7 ,15.3 ,7.9 ,..,13.6 ,3.9 ,14.7 
  May-2020,7.1 ,5.5 ,5.4 ,13.7 ,11.8 ,21.2 ,2.4 ,5.5 ,7.0 ,7.4 ,6.9 ,4.2 ,17.0 ,4.8 ,4.5 ,5.0 ,4.3 ,8.5 ,2.9 ,4.5 ,7.7 ,4.2 ,3.6 ,..,4.6 ,3.3 ,5.9 ,6.5 ,4.8 ,15.4 ,8.5 ,..,14.0 ,3.8 ,13.3 
  Jun-2020,7.4 ,5.4 ,5.5 ,12.3 ,12.4 ,20.8 ,2.7 ,6.0 ,8.0 ,7.6 ,6.6 ,4.3 ,..,4.9 ,4.5 ,4.6 ,4.6 ,9.3 ,2.8 ,4.3 ,7.7 ,5.5 ,4.3 ,..,5.2 ,3.3 ,7.3 ,6.6 ,4.8 ,15.8 ,9.2 ,..,..,..,11.1 
  Jul-2020,7.5 ,5.2 ,5.5 ,10.9 ,..,19.7 ,2.7 ,6.0 ,..,7.8 ,6.9 ,4.4 ,..,..,5.0 ,5.0 ,4.6 ,9.7 ,2.9 ,4.2 ,7.3 ,..,4.5 ,..,..,3.2 ,8.1 ,6.8 ,4.7 ,15.8 ,9.2 ,..,..,..,10.2 
  Aug-2020,..,..,..,10.2 ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2 ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.4 
